Datetime,Text
2022-06-09 23:59:52+00:00,"A new Moderna Covid-19 vaccine works better than the company’s current vaccine against the Omicron variant, a study found. The new vaccine targets both Omicron and the original strain of the virus. https://t.co/o0OfESJ3LW"
2022-06-09 23:59:43+00:00,"Good Day LA: Anthony Brown advocates for COVID-19 vaccine https://t.co/7XDa2RceUT via @YouTube 
#knowledge #scienceexperiments #scienceeducation #learningapp #learning #educationispower #learn #educationsystem #educationmatters #education"
2022-06-09 23:58:58+00:00,"Trump Has This Message For Vaccine-Hesitant Americans

#coronavirus #news #covidvaccine #health
https://t.co/QQxVB2rzhH"
2022-06-09 23:58:12+00:00,@TheFreds If they've already had the Covid vaccine and take the smallpox vaccine they won't be alive for much longer.
2022-06-09 23:58:02+00:00,@LeAdderNoire I have permanent lung damage and am not sure if its from having COVID in July 2020 or two doses of the vaccine in April 2021.  I didn't have any lung issues until a few months after the vaccine.
2022-06-09 23:57:48+00:00,"If you were wondering when the COVID gongshow will end just know it won't.
BMGF is investing in multiple pharma companies who have vaccines for COVID19 in early the stages of development. https://t.co/MiRHIqf7ZM"
2022-06-09 23:56:27+00:00,"@BLUEfingers2021 @DanielAndrewsMP Then call them out on it. Demand that vaccines are kept up to date, ventilation is implemented, covid education &amp; quick wins to reduce transmission. Look at the daily infections. See @RealOzSAGE @Globalbiosec. We have all the tools not the political will. Tell them. Fix Australia"
2022-06-09 23:56:19+00:00,@sanidadgob Why are you pushing dosis de recuerdo. In New South Wales 100% of cases with covid are vaccinated. It is better to be unvaccinated. Read the science instead of selling the vaccine
2022-06-09 23:56:16+00:00,@69fstop @LeAdderNoire HOW MANY TIMES DID SOMEONE NEED TO GET THE POLIO VACCINE? COVID VACCINE IS CURRENTLY EVERY FOUR MONTHS.
2022-06-09 23:56:13+00:00,@troublefault The major reason he can't get covid vaccine.
2022-06-09 23:56:08+00:00,"@zerohedge a distraction from the Epstein, Ukraine, and the soon to be buried Covid/Vaccine scam. smoke out them out...and we'll know what to do."
2022-06-09 23:55:26+00:00,"@meeekmelly Don’t worry, based on all the Covid vaccines you took and still not getting a clue….you definitely won’t be ageing."
2022-06-09 23:55:17+00:00,"@HoagML @laurajsommer @AP Alright Hoag...I'll bite. Let's have a discussion. Why do you want to give your 5 yr old the vaccine for covid? Here's why I don't think you shuld - no long term studies, kids are minimally affected by covid, it was created within months."
