Datetime,Text
2022-06-08 23:59:59+00:00,"Great succinct thread on where we find ourselves in the third year of the pandemic.
1. Covid will never be endemic. 2. Learning to live with it doesn't mean we leave at risk people behind 3. Address the air problem indoors 4.Vaccines alone don't work. 
https://t.co/1cT6RpuNrA"
2022-06-08 23:59:59+00:00,"@LizardSF @dandrezner @TheRickWilson Dereliction of duties. No Covid vaccine roll out plan, no Transition Plans, no meeting with the Biden team.  Nothing. Complete and utter dereliction of duty."
2022-06-08 23:59:38+00:00,What Would a Novavax Covid-19 Vaccine Mean in the US? | News World Express https://t.co/qFsvnKzu21
2022-06-08 23:59:36+00:00,@middlingobiwan I used to believe that as well. I spent my entire adult life vaccinating people. I wouldn't give my dog the covid vaccine. It should have been recalled after a few deaths. It would have been off the market if we were living during a normal time.
2022-06-08 23:59:34+00:00,"But how would pregnant people access this? 🤔

Pregnant people can receive a DTAP vaccine during every pregnancy, at the preferred interval based on fetus age, regardless of their last date of vaccine.
When will we allow pregnant women to make this choice with the covid vaccine? https://t.co/Pap952BbqQ"
2022-06-08 23:58:59+00:00,Cue the anti-vaxxers blaming the covid vaccine for a joint issue I’ve had for many many years.
2022-06-08 23:58:57+00:00,@NSFWPoliticsNow @noovohreesh @blackbear93 @StrikeDebt @bergeronprocess COVID still here right? What about the testing they stopped doing? What about the vaccine not being free anymore? What about everything that isn't just UE? Also UE being under 4% means nothing when people need 2-3 jobs and still aren't making it. And UE measures are shit anyway.
2022-06-08 23:58:57+00:00,"@Sarah77414568 I'm not COVID vaccinated; but I'm definitely gonna get a smallpox vaccine (87% effective) when &amp; if they become available in NZ , to protect against the dreaded MonkeyPox when it gets here."
2022-06-08 23:58:47+00:00,@sir19631 @SimonJamesOShea @AnnieIrish68 @BluewoodHomes The vaccines? Yes they most certainly can be and they are shown to only have a 1% efficacy rate after several weeks. Not worth the risk. You're better off getting a mild case of Covid and getting over it to have 10% more immunity
2022-06-08 23:58:43+00:00,"Another interesting slide, this one from @VoiceOfFranky, a poll: if they believe Russia has committed war crimes in Ukraine. Responses depended on how many Covid vaccines the respondents have received.

- 88% of those with 3 vaccines say yes.
- 32% of vaccines refusers say yes. https://t.co/74Y77eKoIV"
2022-06-08 23:58:24+00:00,"@LauraMiers Just so you are aware Laura, the tweet of yours above this one has incorrectly been flagged as misleading

You are not anti vaccine, &amp; you were simply pointing out that the risk of long COVID is not eliminated by vaccination, it is only reduced 

https://t.co/hJxsQjx2BP"
2022-06-08 23:58:08+00:00,The FDA is an Epic Fail! FDA Panel Recommends Novavax COVID Vaccine Despite Heart Inflammation Concerns https://t.co/EI1BL61Ul1
2022-06-08 23:58:04+00:00,"Researchers in France –Turkey begun to establish an alarming link between an incurable, degenerative brain disease called Creutzfeldt-Jakob disease (CJD) and the experimental Covid-19 vaccine. CJD is a “rare” disease that is caused by abnormal infectious proteins in the brain
GP"
2022-06-08 23:58:00+00:00,"@NYCHealthCommr Nobody wants this garbage anymore. They keep making them to flush them down the toilet. Millions of COVID vaccines doses have been wasted in the United States according to data from the Centers for Disease Control  

https://t.co/RZ1YrxLcHK"
2022-06-08 23:57:55+00:00,And they have the nerve. Biden to go on twitter. At the time he took office know the economy did not stall and covid was not out of control they made the vaccine so you could use it and you lied about that your economic plan is terrible robust recovery are you kidding everybody's
2022-06-08 23:57:18+00:00,"This Major City Just Announced ""High Alert"" Level of COVID

#news #coronavirustips #covidvaccine #coronavirus
https://t.co/I6ysyJ9gbT"
2022-06-08 23:56:57+00:00,"So When Will Pandemic ""End""? Here's What Experts Say

#coronavirus #news #coronavirustips #health #covidvaccine
https://t.co/6gOgAFKqOu"
2022-06-08 23:56:45+00:00,What Would a Novavax Covid-19 Vaccine Mean in the US? https://t.co/wrg3Q0JMv3
2022-06-08 23:56:40+00:00,@defund_fedgov22's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
2022-06-08 23:56:39+00:00,Comirnaty and Pfizer-BioNTech COVID-19 Vaccine https://t.co/CfZ4x6ZEPl
2022-06-08 23:56:33+00:00,"Moderna says updated COVID booster is superior to original vaccine shots, could begin shipping by August https://t.co/KLVOZLpjoU"
2022-06-08 23:56:31+00:00,"@BryanSh12894651 @jordanbpeterson @JustinTrudeau Imagine being so silly to not read to the bill and mae things up as you go. It's restricted to covid measures only. 
Oh and hey... if all of those children's vaccines were so important, why does only 2 provinces have them mandated, not ALL provinces."
2022-06-08 23:56:25+00:00,"@bebe1969 @GirlVet1975 My 25 year old is really sick with Covid right now. I’m not super sympathetic, she refused to wear a mask in 2020 and brought it home infecting all of us. Then mocked vaccines while we all got ours. I guess she is finding out how much it sucks to suck."
2022-06-08 23:56:24+00:00,"At the same time the White House is diverting dwindling funds for covid testing, PPE and research to cover shortfalls for vaccines and treatments, Biden is still out encouraging states and localities to direct their covid-related funding to hiring more police https://t.co/VxUJYD0cLZ"
2022-06-08 23:56:12+00:00,Do you think Trump can wait in line like everyone else &amp; not be the first to get the #Monkeypox vaccine like he did with the COVID vaccine? https://t.co/okJZFJliwH
2022-06-08 23:55:45+00:00,@aaronhoyland 50% of that 90% were coerced into getting the vaccine.  They've now had covid and have buyers remorse and don't like that they were mislead.   The Pfizer data isn't painting a very rosey picture and people who are paying attention are not happy.
2022-06-08 23:55:41+00:00,"Are you telling me that we are going to go to covid again and that the canadian government is aiming to call ""vaccinated"" only the people with 3 vaccines?

#CdnMediaFailed #onpoli #EGO #CovidIsNotOver #TrudeauForTreason"
2022-06-08 23:55:37+00:00,@EdGordonJr He is planning to come back and if he loses we will see the same movie again. This is going to be more of a nightmare than the Covid. And there are no vaccines.
2022-06-08 23:55:29+00:00,"@CHEO @deshaynef @JAMAInternalMed How would pregnant women access this?

Pregnant people can receive a DTAP vaccine during every pregnancy, at the preferred interval based on fetus age, regardless of their last date of vaccine.
When will we allow pregnant women to make this choice with the covid vaccine?"
2022-06-08 23:55:25+00:00,@TLH1965 @Whatelse73 @BrianJo36240174 @TimRunsHisMouth Also if we are going to blame Trump for COVID Biden doesn't get to claim the vaccine because that was all under Trump. And yes Trump is a Dbag and doesn't deserve to be president. Oh yeah remember when Biden said if you get the vaccine you will not die. RIP to my father in law.
2022-06-08 23:54:49+00:00,@BadMedicalTakes there is not butter in covid vaccines
2022-06-08 23:54:48+00:00,"@Silencer086 @TomasRicardos @LockedOnOrioles The flu actually has a vaccine, similar to COVID."
2022-06-08 23:54:34+00:00,"@sandflea711 @W4llaGaming @juliagoolia1982 @str8shooter123 @Natheio2007 @BluewoodHomes dude the vaccine lowers your chance of dying, sever disease, long covid, etc... WAY more than 12%. i'm not entirely sure what you're reading, i don't care about cnn, but you're obviously not understanding whatever it is"
2022-06-08 23:54:33+00:00,"COVID-19 Vaccines | ""1 in 5 Are Willing to Put Families At Risk Rather Than Get Vaccinated."" - Obama https://t.co/smxVwHF84t"
2022-06-08 23:54:31+00:00,Virus experts recommend Novavax Covid-19 vaccine https://t.co/ARt9DFtHZg
2022-06-08 23:54:29+00:00,"@realMeetKevin These vaccines &amp; boosters kept &amp; still keeps your customers buying your educational products alive @realMeetKevin .  That flu pandemic thing from 100 years ago still recommends yearly flu shots. Like, reptile hunting sounds easy till it’s a small chameleon w/ camo (Covid/flu)… https://t.co/9gywRpgw3W"
2022-06-08 23:54:13+00:00,What Would a Novavax Covid-19 Vaccine Mean in the US? https://t.co/Qin6EWzsDR
2022-06-08 23:53:46+00:00,Trials of new Covid vaccine raise hopes of once-a-year booster. https://t.co/OLGkZUJKvr
2022-06-08 23:53:43+00:00,@GovCanHealth Any word on when Canada is meeting to approve EUA covid 19 vaccine for U5?
2022-06-08 23:53:34+00:00,"✓ A Fourth COVID-19 Vaccine, From Novovax, Passed a Key Stage in the Authorization Process #BreakingNews #time #RT ►►► https://t.co/8yUjqGeAc1 https://t.co/t5Z1bW3VhU"
2022-06-08 23:53:24+00:00,@txsalth2o My daughters aren’t going to summer camp this summer because their camp decided to require the Covid vaccine. Instead we are leaving CA. We sold our home of 24 years and are moving to NW Arkansas. Adios California 👋🏼
2022-06-08 23:53:20+00:00,"If anyone in your Twitter feed is claiming that monkeypox is caused by a COVID vaccine, you need to follow smarter people. https://t.co/23HNmHDV1Z"
2022-06-08 23:53:07+00:00,"Covid 19 vaccine causing heart problems such as myocarditis/pericarditis especially amoung boys. This is NOT rare, lack of public knowledge make it rare. 

@HSELive
 this is part of a PDF document from hse website why wasnt/isn't this shared 
broadcast on Irish media... https://t.co/22IfAXur1E"
2022-06-08 23:52:55+00:00,@BadMedicalTakes Say Covid vaccines are hot when doctors literally had to source special machines that would run cold enough to keep them viable
2022-06-08 23:52:55+00:00,What Would a Novavax Covid-19 Vaccine Mean in the US? https://t.co/wmIS9PeHbT
2022-06-08 23:52:35+00:00,"@monicaonairtalk 10-20 kiloton thermal nuclear devices are dime a dozen an lots of fun, a great way to level a small city kind of like this awesome COVID-19 vaccine did for us"
2022-06-08 23:52:15+00:00,Over 82 million covid vaccines wasted in the US https://t.co/rQwiBMyY17
2022-06-08 23:51:52+00:00,Covid vaccine…🤔 https://t.co/S9ANpApD33
2022-06-08 23:51:51+00:00,"@aaronhoyland Now if only the vaccine stopped you from getting, transmitting or dying if covid. https://t.co/pttskCxDg0"
2022-06-08 23:51:37+00:00,"I have another twitter account , well apparently you can't criticize Bill Gates or the vaccines , oh by way @twitterI I didn't mention covid at all , just a bunch pussy ass liberals , can't deal with the truth"
2022-06-08 23:51:36+00:00,"It's depressing that this kind of debunking is necessary &amp; it's not like people into conspiracies are going to believe the mainstream media &amp; PH authorities anyway, but no, the chimpanzee adenovirus in COVID vaccines does not cause #monkeypox.🤦‍♀️

https://t.co/TQJczaNhTn"
