Datetime,Text
2022-06-27 23:59:56+00:00,"Alerts — World Health Network

The main risk groups for severe illness and death following monkeypox infection are children up to the age of 10, and pregnant or immuno-compromised people. https://t.co/kLeYHK00UR"
2022-06-27 23:59:45+00:00,@AB_CovidFacts Monkey Pox parade!
2022-06-27 23:59:26+00:00,@dresden_rl Monkey pox.
2022-06-27 23:59:25+00:00,Hanging around that group would not be surprised if Lina Hidalgo contracted Monkeypox too. Supposedly they 👇 are the hotbed for that 🦠. https://t.co/09zxR2wf7A
2022-06-27 23:59:17+00:00,@GOP Monkeypox upon the GOP. Curse you. Remember to support poor mothers and not refer to them as Welfare Queens.
2022-06-27 23:59:11+00:00,"Kes monkeypox mengikut negara
Bulan Ini Bulan Lepas
1044-99- 🇪🇸Sepanyol
873-101- 🏴󠁧󠁢󠁥󠁮󠁧󠁿England
765-21- 🇩🇪Jerman
365-74- 🇵🇹Portugal
330-7- 🇫🇷Perancis
257-12- 🇳🇱Belanda
244-12- 🇺🇸Amerika Syarikat
235-26- 🇨🇦Kanada
127-12- 🇮🇹Itali
0-0- 🇵🇭Brunei
#Brunei https://t.co/6rNA4eVQRF"
2022-06-27 23:59:07+00:00,"@sayitnspinit That is Monkey Pox, brother of Corn Pop."
2022-06-27 23:58:46+00:00,@kaki385 @loovee3333 😎👍👍😎
2022-06-27 23:58:43+00:00,@ClownWorld_ Monkeypox festival
2022-06-27 23:58:40+00:00,"Mga kaso ng monkeypox ayon sa bansa
Ngayong Buwan Nakaraang Buwan
1044-99- 🇪🇸Espanya
873-101- 🏴󠁧󠁢󠁥󠁮󠁧󠁿Inglatera
765-21- 🇩🇪Alemanya
365-74- 🇵🇹Portugal
330-7- 🇫🇷France
257-12- 🇳🇱Netherlands
244-12- 🇺🇸Estados Unidos
235-26- 🇨🇦Canada
127-12- 🇮🇹Italya
0-0- 🇧🇳Pilipinas
#PinasLangMalakas https://t.co/2dkETS71JM"
2022-06-27 23:58:32+00:00,@MelissaMbarki @jvipondmd I predict monkeypox will get worse in the next 2 weeks. A Pride hangover.
2022-06-27 23:58:28+00:00,"Direct 27 juin 22 : Zemouri/Gernelle, Avortement, Covidisme, Monkeypox, Attali... https://t.co/8oLjBkxP48"
2022-06-27 23:58:15+00:00,"@Soxwriter Got our first Monkeypox case here in Mecklenburg County, NC. Most cases nationally are occurring between men having sex with other men. Sounds like beginning of Aids spread in mid-80s. Appropriate for Pride Month I guess.
https://t.co/Rj9pnsBsQP"
2022-06-27 23:58:08+00:00,"Kes monkeypox mengikut negara
Bulan Ini Bulan Lepas
1044-99- 🇪🇸Sepanyol
873-101- 🏴󠁧󠁢󠁥󠁮󠁧󠁿England
765-21- 🇩🇪Jerman
365-74- 🇵🇹Portugal
330-7- 🇫🇷Perancis
257-12- 🇳🇱Belanda
244-12- 🇺🇸Amerika Syarikat
235-26- 🇨🇦Kanada
127-12- 🇮🇹Itali
0-0- 🇲🇾Malaysia
#Malaysia https://t.co/0f7vVQSjGK"
2022-06-27 23:58:03+00:00,"Monkeypox cases in Chicago jump to 42 but it remains rare and is mu... (Chicago Tribune)

Chicago has tallied 42 diagnosed monkeypox cases, the city's top doctor said Monday.

Add your highlights:
https://t.co/PceYincDVR
 #Chicago #IL"
2022-06-27 23:57:55+00:00,"@23cmnails @christapeterso Monkeypox and Meningitis Outbreak in FL:

Homosexuals."
2022-06-27 23:57:52+00:00,"@JMBossert1 You forgot 
Monkeypox, and Long-Covid (the impacts of which we've barely seen yet)"
2022-06-27 23:57:36+00:00,"Casos de monkeypox por país
Este mês no mês passado
1044-99- 🇪🇸Espanha
873-101- 🏴󠁧󠁢󠁥󠁮󠁧󠁿Inglaterra
765-21- 🇩🇪Alemanha
365-74- 🇵🇹Portugal
330-7- 🇫🇷França
257-12- 🇳🇱Holanda
244-12- 🇺🇸Estados Unidos
235-26- 🇨🇦Canadá
127-12- 🇮🇹Itália
0-0- 🇲🇴Macau
#Macau https://t.co/nVzJSovmIQ"
2022-06-27 23:57:26+00:00,"Dr David Martin, Phd, on snail venom, monkey pox, and death predictions https://t.co/9ri6kSZ3Fo"
2022-06-27 23:57:07+00:00,@WeAreCanProud @woodydianne Monkeypox
2022-06-27 23:57:05+00:00,@Daniel44943553 Danny does that have anything to do with the rumors of you contracting monkeypox
2022-06-27 23:57:03+00:00,"@ChrissieMayr @LadyGravemaster Got my ""Survived A Night At Disney"" Badge, and my ""Drag Kid"" Badge, and ""30 Days Monkey Pox Free"" Badge!"
2022-06-27 23:56:52+00:00,I guess monkeypox did not have the desired effect... https://t.co/ubB3FCd7Gi
2022-06-27 23:56:38+00:00,"Haha I don't feel like saying anything right now I just feel like typing but one word was very hard to type, I can't remember which.

This is so fucked, I got scared of something lol, and I don't know what it is. Oh yeah it was gonna start rainikg again. But it's not."
2022-06-27 23:56:36+00:00,"@America1Scotty Soars.  LOL.  

They are so desperate for monkeypox to be a thing.  And when it's only gays getting it, it just won't work."
2022-06-27 23:56:30+00:00,"Monkeypox: Daily confirmed &amp; suspected cases, by date of report
7-day rolling average. Cases are shown by the date on which they were announced by public health authorities. https://t.co/9SyvFTxdXd"
2022-06-27 23:56:16+00:00,"@Gx_Fxck_Urself @HellishQurve @kept_simple @libsoftiktok 1) Gender dysphoria is a noted dysfunction in the DSM5.

2) Monkeypox is predominantly being spread at alphabet gatherings thru sexual contact. Whoda’ thunk it, right?

3) I have never been known to sprout anything."
2022-06-27 23:56:09+00:00,Monkeypox cases in Chicago jump to 42 but it remains rare and is much less transmissible than COVID-19  https://t.co/pYi7gBAxAz
2022-06-27 23:56:02+00:00,This account opposes the incoming #monkeypox lockdowns. Thank you!
2022-06-27 23:55:46+00:00,"Monkeypox case count rises to more than 3,400 globally, WHO says &amp; More Trending News https://t.co/gbVZ4PksmR"
2022-06-27 23:55:23+00:00,@thehill Monkey pox what’s that
2022-06-27 23:55:21+00:00,@CTVNews Is this one from women 👉🏻👌🏻 women? Asking on behalf of #monkeypox people.
2022-06-27 23:55:03+00:00,"Epidemiological, clinical and virological characteristics of four cases of monkeypox support transmission through ... https://t.co/UKpyCvKO2I"
2022-06-27 23:54:52+00:00,"Despite a growing number of cases in non-endemic countries, the current #outbreak of #monkeypox does NOT warrant a #publichealth emergency of international concern (PHEIC), the @WHO said. More here: https://t.co/xvfQteLA5P https://t.co/UE9iFNgsYY"
2022-06-27 23:54:48+00:00,New monkeypox advice for pregnant women in the UK https://t.co/HsEtmTOQBY
2022-06-27 23:54:47+00:00,@CtznnOftheworld @ClownWorld_ Monkeypox*
2022-06-27 23:54:32+00:00,Monkeypox has entered air travel. Singapore is the best country for public health quarantine rules. 👇🏼 https://t.co/A7BZ2hzFVJ
2022-06-27 23:54:10+00:00,"@liz_churchill_ Monkey pox didn't scare them, quick release the cute bunny virus."
2022-06-27 23:54:02+00:00,Douglas County identifies first case of monkeypox - KETV Omaha https://t.co/Jd3AaMPohX
2022-06-27 23:53:58+00:00,Can’t tell if I should quit smoking or if I have monkey pox rn
2022-06-27 23:53:39+00:00,@ChuckCallesto We all should just walk around bent over because they're screwing us in the monkey pox.
2022-06-27 23:53:01+00:00,David Heitstuman and Alexis Sanchez of the Sacramento LGBT Center met with @CapRadioInsight Host @VickiLGonzalez to discuss how to talk about monkeypox while reducing harm. https://t.co/yrZNhcwBLj
2022-06-27 23:52:38+00:00,"Here we go...

If you were in close contact with someone at the Pride Parade, they say you should get tested for... wait for it...

Monkey Pox. 😂😂😂

Don't let them trick you into your grave. https://t.co/AbdoOzPbNg"
2022-06-27 23:52:30+00:00,"Well, they sure dropped that Monkeypox scare like a hot potato, didn’t they?"
2022-06-27 23:52:13+00:00,"@our_daily_pain The Pope sent an imprisoned Jefferson Davis a crown of thorns allegedly woven by his own hand, but Davis had the foresight to not allow himself to be photographed wearing it."
2022-06-27 23:51:01+00:00,@FPWellman This was one stray bullet hitting a parked van. https://t.co/iiOqcNkkkd
2022-06-27 23:50:40+00:00,Experts warn that monkeypox is mutating at 12 times the expected rate https://t.co/9qISdFdYoo
2022-06-27 23:50:28+00:00,@ComradeVero Monkeypox
2022-06-27 23:50:22+00:00,"Thought someone shouted Ey! and I left immediately.

Well yeah there are tons of people they say a lot of shit, laught, all sorts of things, you know.

Why shouldn't they also say Ey! It would be a normal thing to way, I think I'd also say aomething like that idk."
2022-06-27 23:50:00+00:00,@Keggs719 @TheNickFoy Monkeypox can be spread by respiratory droplets and masks are an important part of preventing spread when near someone with monkeypox or if you have monkeypox. https://t.co/RxZ23sul6W
2022-06-27 23:49:58+00:00,"""Limited Monkeypox Vaccination Appointments Will Become Available to Eligible Residents Today at 1 PM"" - PoPville https://t.co/Tenj9sxinC https://t.co/uGNtC0u3kH"
2022-06-27 23:49:58+00:00,"Monkeypox?
*takes a long drag on a cigarette*
Big deal. Monkeys are cute. Wake me up when we have to deal with Sasquatchpox
*starts coughing uncontrollably from the smoke*"
2022-06-27 23:49:27+00:00,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/fLgsrx7R9A
2022-06-27 23:49:24+00:00,"@lainersson mine will be...""where's the monkeypox shot"""
2022-06-27 23:49:15+00:00,Douglas County identifies first case of monkeypox - KETV Omaha https://t.co/oge45HIOAV https://t.co/hInhqZMCsJ
2022-06-27 23:48:55+00:00,Columbus Public Health investigating local case of monkeypox - 10TV https://t.co/zY0OJihCUr
2022-06-27 23:48:27+00:00,"@MythicalChef @VidCon Be careful you guys..still stuff going around..monkey pox, anyone?🙈🙉🙊"
2022-06-27 23:48:09+00:00,"@ArielCohen37 While I suspect some Morning Tech readers will be excited to know that monkeypox is not considered a variant of concern by the World Health Organization, I'll pass today. Thanks &lt;3"
2022-06-27 23:48:03+00:00,"""Monkeypox"" solo circula en países donde la población recibió la vacuna Pfizer y se está utilizando para avanzar en un gran reinicio tecnocrático

https://t.co/JOB0yGCF6m"
2022-06-27 23:47:34+00:00,⚠️ #monkeypox https://t.co/G0opmLgG30
2022-06-27 23:47:17+00:00,"@kylamb8 And now....it is monkeypox....variants and mutations coming right and left...should peak early November.... some of us aren't idiots. This one isn't airborne, you gotta dance with the shit to get it."
2022-06-27 23:47:11+00:00,"@iceshaker @kare11 🙉🙈🙉
What Kare11 won't say.  
monkeypox epidemic  - very much appears to be centered around the sexual practices of gay men. (And bisexual men, also known as gay men who want to pretend they’re straight.)"
2022-06-27 23:46:54+00:00,"Monkeypox is a rare but potentially serious viral illness that usually involves flu-like symptoms, swelling of the lymph nodes and a rash. It’s typically spread by skin-to-skin contact. Most infections last two to four weeks. https://t.co/gudxsCAkzD"
2022-06-27 23:46:32+00:00,"Direct 27 juin 22 : Zemouri/Gernelle, Avortement, Covidisme, Monkeypox, Attali... https://t.co/oxzVKQAbNH"
2022-06-27 23:45:44+00:00,@markpoloncarz @BuffaloSpree Whatever makes you feel good. BTW what’s the status of the monkey pox pandemic?  I am sure you and Gale are planning.
2022-06-27 23:45:37+00:00,"There are more than 4,000 cases of monkeypox in the world https://t.co/YxMz1rQ1Y0"
2022-06-27 23:45:30+00:00,Not looking so good over here guys — #MonkeyPox https://t.co/9xfhdoDXod
2022-06-27 23:45:21+00:00,"AT 8
• The Supreme Court sides with a high school football coach who was fired for praying after games
• A manhunt is underway for the person accused of killing a homeless woman in northern Virginia
• DC opens up limited monkeypox vaccination appointments for residents

AND"
2022-06-27 23:45:12+00:00,"I will NOT be attending ANY gay raves that aren’t checking monkeypox vax cards! 
#staysafe https://t.co/zXb3EREMox"
2022-06-27 23:44:47+00:00,@StphaneChaps36 Someone tell Jags....
2022-06-27 23:43:08+00:00,"WHO issues monkeypox threat report

The UN health body says the virus is not yet a ‘public health emergency of international concern’, such as Covid-19 and polio
https://t.co/4dFEi39TVB"
2022-06-27 23:43:07+00:00,"@manaboutcowtown @SoSully84 #TimbitTaliban supporters just gish gallop around. 
Their function's to distract you from things like Russian aggression, poor response to BA.4 &amp; monkeypox surges &amp; other PH discourse about infrastructure upgrades 2 HVAC in public spaces (costs elites $$$)
https://t.co/YY0mMh6p1L"
2022-06-27 23:43:06+00:00,First Case of Monkey Pox Confirmed in Minnesota https://t.co/27v2BNzhE9 @KROCNews
2022-06-27 23:43:01+00:00,"💥Dr. David Martin :

En mars 2021, le #NTI Nuclear Threat Initiative, financé par le co-fondateur de #Facebook Dustin #Moskowittz, a pévu qu'en mai 2022 nous aurions une épidémie de #Variole du #Singe #Monkeypox https://t.co/1aDjMnh6Xk"
2022-06-27 23:42:53+00:00,"@mrbenwexler They included Muslims, dumb💩"
2022-06-27 23:42:19+00:00,@michaelmalice Nasal monkey pox ...
2022-06-27 23:42:10+00:00,"@LoFiRepublican Pregnancy is the least of dude’s concerns when there’s Herpes, Warts, HIV, Monkey Pox and some flesh eating penile disease from the tropics. There’s also Plan B at CVS for PhucksSake"
2022-06-27 23:41:55+00:00,Experts warn that monkeypox is mutating at 12 times the expected rate https://t.co/uYYPQT0BXq
2022-06-27 23:41:55+00:00,@VicGovDH @NSWHealth Does Victoria have adequate “monkeypox” vaccine supplies? (3 of 3)
2022-06-27 23:41:50+00:00,@xrpdaron Don't worry he will wind up with the monkeypox..
2022-06-27 23:41:31+00:00,@VicGovDH @NSWHealth Per WHO: “At the present time the original (1st-generation) smallpox vaccines are no longer available to the general public … A still newer vaccine … was approved for the prevention of monkeypox in 2019. This is a 2-dose vaccine for which availability remains limited.” (2 of 3)
2022-06-27 23:41:30+00:00,"06/28 サル痘(Monkeypox)感染状況

4408人(+179)

■感染拡大国
1位 イギリス 910人
2位 ドイツ 765人
3位 スペイン 738人
4位 ポルトガル 365人
5位 フランス 332人
6位 カナダ 279人
7位 オランダ 257人
8位 アメリカ 201人
9位 イタリア 128人
10位 ベルギー 77人

#GKmnkypx https://t.co/Pbm5eHnS1y"
2022-06-27 23:41:01+00:00,"Join @WCMpeds and @WCMEmergency experts to learn more about pediatric issues, like COVID-19 vaccines, hepatitis and monkeypox in the news. 

📅 Tuesday, June 28, 5:30 - 6:30 p.m. 
Register here: https://t.co/NWEeAja69m https://t.co/6ZnNTBIv2B"
2022-06-27 23:40:26+00:00,#Monkeypox found to be evolving at a faster rate than #expected. https://t.co/WnA29hAeSO
2022-06-27 23:40:10+00:00,"The origins of the monkeypox outbreak are finally being revealed. Although the monkeypox virus is rapidly spreading in the wild, genetic analysis indicates that it has been silently circulating in humans for years. @nytimes
https://t.co/5Lte7yxJ62"
2022-06-27 23:39:41+00:00,Kyrie and monkey pox vaccine running it back&gt;&gt;&gt; Kyrie and Bron https://t.co/LODPqsmu1g https://t.co/fYePx3z074
2022-06-27 23:39:36+00:00,@__shanneng AAHAHAHAHAHHH
2022-06-27 23:39:30+00:00,Is it possible they aren't real happy with Dems for refusing to give SCOTUS and their families more protection? Lots of wins lately. Hopefully it's not pick your battle wins leading up to monkeypox mandates. That is also possible. https://t.co/gwIktnC22a
2022-06-27 23:39:25+00:00,Monkeypox in Broward: How the rise in cases is unfolding https://t.co/GOxWCDg55Z
2022-06-27 23:39:02+00:00,"CDC has gone stealth since covid. We need more transparency and better access to testing and vaccines for monkeypox,"
2022-06-27 23:39:00+00:00,"Nanopore sequencing of a monkeypox virus strain isolated from a pustular lesion in the Central African Republic
https://t.co/8ngBeQOpk4 #maskotlib"
2022-06-27 23:38:57+00:00,@LANACION monkeypox
2022-06-27 23:38:45+00:00,Except for when people notice me then idk I don't know anybody lol
